Temperature,Cv Murnaghan,Cp Murnaghan,Cp experimental
298.15,19.920997114996545,20.058441451559638,20.007
300.0,19.97394527122384,20.112990391526676,20.006
400.0,21.969051840460697,22.19442397020728,22.258
500.0,22.98797857429153,23.298043746140912,23.588
600.0,23.568665246013836,23.961901460285254,24.42
700.0,23.928098704776932,24.403601943632804,25.05
800.0,24.16498098343579,24.722356519109596,25.608
900.0,24.328892503700775,24.96810912745152,26.11
1000.0,24.44679380627186,25.168075302839163,26.569
1100.0,24.534311819615226,25.33806325123992,26.988
1200.0,24.60098993408749,25.487749727268906,27.36
1300.0,24.652913567296572,25.62332032122307,27.707
1400.0,24.69410721409196,25.7488774388947,28.045
1500.0,24.72731634874843,25.867229478966998,28.372
1600.0,24.75446441697337,25.980351073028757,28.674
1687.0,24.77423640202024,26.075629634090856,28.93
